name,count,type,benchmark
DabZ,43,multiple app,yes
Tagchat,3,multiple app,no
Yakidoo,5,single app,yes
Lajo,21,multiple app,yes
Meevee,94,single app,no
Zoozzy,23,single app,no
Jabberstorm,96,single app,yes
Voonte,15,single app,yes
Realbridge,6,single app,yes
Blognation,62,single app,no
Quimba,46,multiple app,yes
Divanoodle,3,single app,no
Pixope,13,single app,no
Kanoodle,57,single app,no
Fiveclub,10,single app,yes
Twitterbeat,98,single app,no
Buzzshare,4,single app,yes
Dabfeed,74,multiple app,yes
Twimbo,99,multiple app,no
Skinte,6,multiple app,no
Zooxo,52,single app,no
Cogidoo,99,single app,yes
Zooxo,85,multiple app,no
Mymm,35,multiple app,no
Skyvu,58,multiple app,no
Vinder,40,single app,no
Trunyx,28,multiple app,no
Jaxbean,28,single app,yes
Skyndu,19,single app,yes
Einti,33,multiple app,yes
Mybuzz,42,multiple app,no
Roombo,87,multiple app,no
Topicstorm,64,multiple app,yes
Einti,57,single app,no
Fivebridge,2,multiple app,yes
Meejo,96,single app,yes
Dablist,85,single app,yes
Blogtags,3,single app,no
Trilith,7,single app,no
Rhybox,5,single app,no
Kwinu,2,single app,no
Trunyx,31,single app,yes
Wikizz,69,multiple app,no
Brainsphere,66,single app,no
Quimm,31,single app,yes
Feednation,38,multiple app,no
Livetube,36,single app,no
Jaxnation,4,single app,no
Kayveo,33,single app,no
Fanoodle,8,multiple app,no
Gigazoom,52,single app,no
Flashspan,55,multiple app,yes
Wikibox,13,multiple app,yes
Topdrive,51,multiple app,yes
Agimba,93,multiple app,no
Cogidoo,31,single app,yes
Bubblemix,51,single app,no
Flipbug,20,single app,yes
Skalith,47,single app,yes
Meetz,25,single app,yes
Twimm,11,single app,yes
Kwinu,16,multiple app,yes
Zoombeat,8,multiple app,yes
Pixoboo,64,multiple app,yes
Shuffledrive,80,multiple app,yes
Izio,25,multiple app,yes
Avamm,22,single app,yes
Trilith,49,multiple app,no
Leexo,29,multiple app,yes
Livefish,66,multiple app,yes
Voomm,83,multiple app,no
Jaloo,52,multiple app,no
Plambee,54,multiple app,yes
Zooxo,52,single app,yes
Thoughtmix,33,single app,yes
Cogibox,20,single app,no
Cogilith,19,multiple app,no
Pixope,4,multiple app,yes
Trudoo,31,multiple app,no
Jetpulse,74,multiple app,no
Meetz,27,single app,no
Browsedrive,2,multiple app,no
Rhyzio,82,single app,no
Dynabox,23,single app,no
Quinu,45,multiple app,yes
Flashdog,80,multiple app,yes
Gigabox,57,single app,yes
Tagchat,3,single app,yes
Realcube,67,single app,no
Topicblab,73,multiple app,yes
Einti,24,multiple app,no
Skivee,42,single app,yes
Avamba,66,multiple app,no
Twitterbridge,37,multiple app,yes
Dabtype,76,single app,no
Twitterwire,66,single app,no
Topicstorm,1,multiple app,yes
Edgewire,47,multiple app,no
Wordpedia,58,single app,yes
Buzzdog,6,single app,yes
